,uniprot_ids,hgnc_id,symbol,name,alias_symbol,alias_name,ev_association_score
218,P54296,HGNC:7614,MYOM2,myomesin 2,,,2.636055593
219,Q8TDY4,HGNC:14987,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",FLJ20199|UPLC1|CENTB6,"centaurin, beta 6",1.357755409
220,Q8TDH9,HGNC:18561,BLOC1S5,biogenesis of lysosomal organelles complex 1 subunit 5,MU|dJ303A1.3,,1.762502085
221,Q8WV41,HGNC:28468,SNX33,sorting nexin 33,MGC32065|SH3PXD3C|SNX30,,1.226938905
222,Q92551,HGNC:18360,IP6K1,inositol hexakisphosphate kinase 1,KIAA0263,,17.97343819
223,Q96M02,HGNC:26563,C10orf90,chromosome 10 open reading frame 90,FLJ32938|bA422P15.2|FATS,fragile-site associated tumor suppressor,2.772489834
224,Q9H977,HGNC:25770,WDR54,WD repeat domain 54,FLJ12953,,1.741068121
225,Q9HCH0,HGNC:29321,NCKAP5L,NCK associated protein 5 like,,,1.380614097
226,Q9NSC5,HGNC:17514,HOMER3,homer scaffold protein 3,HOMER-3,,1.480292428
227,Q9UBZ4,HGNC:17889,APEX2,apurinic/apyrimidinic endodeoxyribonuclease 2,APEXL2|APE2|XTH2|ZGRF2,"zinc finger, GRF-type containing 2",15.643596
228,P22528,HGNC:11260,SPRR1B,small proline rich protein 1B,GADD33,cornifin-B,1.562161614
229,P0C7W6,HGNC:30524,CCDC172,coiled-coil domain containing 172,MGC35062,,3.053878401
230,P32321,HGNC:2710,DCTD,dCMP deaminase,,,1.115269275
231,Q5SYC1,HGNC:23046,CLVS2,clavesin 2,bA160A10.4,,1.111169384
232,Q9NYY3,HGNC:19699,PLK2,polo like kinase 2,SNK,serum-inducible kinase,11.21466502
233,Q9Y3M2,HGNC:1307,CBY1,"chibby 1, beta catenin antagonist",PIGEA14|PIGEA-14|Chibby|Cby|Chibby1,chibby CTNNB1-mediated transcription inhibitor,2.106023298
234,Q15126,HGNC:9141,PMVK,phosphomevalonate kinase,PMK|PMKA|HUMPMKI,,1.392116181
235,P05230,HGNC:3665,FGF1,fibroblast growth factor 1,AFGF|ECGF|ECGFA|ECGFB|HBGF1|ECGF-beta|FGF-alpha|GLIO703,"heparin-binding growth factor 1|endothelial cell growth factor, alpha|endothelial cell growth factor, beta",3.332351228
236,Q8IUD6,HGNC:21158,RNF135,ring finger protein 135,MGC13061,riplet,3.479219447
237,Q96C24,HGNC:15588,SYTL4,synaptotagmin like 4,Slp4,granuphilin-a|exophilin-2,1.35056776
238,Q9NQT4,HGNC:24662,EXOSC5,exosome component 5,hRrp46p|Rrp46p|RRP46|RRP41B|MGC12901|p12B,exosome component Rrp46,1.786435153
