Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
ARMCX3	"Armadillo repeat containing X-linked 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.04	15.5	96.5	34.7	40.1	17.9	26.9	28.8	63.0
ARMCX4	"Armadillo repeat containing X-linked 4"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 63.2;Excitatory neurons: 57.1;Inhibitory neurons: 83.9;Microglial cells: 60.8;Oligodendrocyte precursor cells: 73.6;Oligodendrocytes: 70.4"	"Low region specificity"	"Detected in all"			0.18	63.2	2.2	57.1	83.9	60.8	73.6	70.4	11.0
ARMCX5	"Armadillo repeat containing X-linked 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.10	0.0	4.2	0.0	0.0	0.0	0.0	0.0	2.2
ARMCX5-GPRASP2	"ARMCX5-GPRASP2 readthrough"	"Evidence at transcript level"	"Low tissue specificity"	"Detected in single"			"Group enriched"	"Detected in some"	100	"Astrocytes: 28.2;Excitatory neurons: 65.6;Inhibitory neurons: 71.2;Microglial cells: 23.3;Oligodendrocyte precursor cells: 47.2;Oligodendrocytes: 33.1"	"Low region specificity"	"Detected in all"			0.15	28.2	0.0	65.6	71.2	23.3	47.2	33.1	0.0
ARMCX6	"Armadillo repeat containing X-linked 6"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 19.1;Gastric mucus-secreting cells: 14.1;Plasma cells: 14.7;Squamous epithelial cells: 28.0"	"Low region specificity"	"Detected in all"			0.11	5.0	6.4	1.8	3.1	5.4	8.0	4.6	10.0
ARMH1	"Armadillo like helical domain containing 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"fallopian tube: 7.9;testis: 11.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 70.0;dendritic cells: 67.8;Early spermatids: 52.3;granulocytes: 68.7;Late spermatids: 56.7"	"Low region specificity"	"Detected in all"			0.20	70.0	67.8	11.9	9.8	7.2	6.1	3.9	0.9
ARMH3	"Armadillo like helical domain containing 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 71.4;Inhibitory neurons: 83.2;Oligodendrocytes: 75.1"	"Low region specificity"	"Detected in all"			0.06	49.2	11.1	71.4	83.2	56.4	49.5	75.1	10.2
ARMH4	"Armadillo like helical domain containing 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 8.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 44.0;Excitatory neurons: 35.9;Inhibitory neurons: 36.1;Microglial cells: 30.4;Oligodendrocyte precursor cells: 62.3"	"Low region specificity"	"Detected in all"			0.21	44.0	0.8	35.9	36.1	30.4	62.3	9.8	3.0
ARMT1	"Acidic residue methyltransferase 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Proximal tubular cells: 78.5"	"Low region specificity"	"Detected in all"			0.07	6.2	5.0	11.0	9.4	5.4	6.1	8.2	7.8
ARNT	"Aryl hydrocarbon receptor nuclear translocator"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.11	26.6	12.9	40.2	45.5	37.6	39.1	47.3	10.2
ARNT2	"Aryl hydrocarbon receptor nuclear translocator 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"brain: 91.2"	"Group enriched"	"Detected in many"	4	"Astrocytes: 198.8;Excitatory neurons: 198.2;Inhibitory neurons: 289.0;Microglial cells: 93.9;Oligodendrocyte precursor cells: 218.4;Oligodendrocytes: 127.5"	"Low region specificity"	"Detected in all"			0.12	198.8	0.4	198.2	289.0	93.9	218.4	127.5	9.7
ARPC1A	"Actin related protein 2/3 complex subunit 1A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 380.6"	"Low region specificity"	"Detected in all"			0.06	19.8	24.8	30.5	26.8	25.0	17.9	26.4	33.1
ARPC1B	"Actin related protein 2/3 complex subunit 1B"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 309.6"	"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 654.6;Hofbauer cells: 745.8;Kupffer cells: 768.5;monocytes: 634.8"	"Low region specificity"	"Detected in all"			0.17	0.9	409.3	3.0	2.2	26.8	0.5	1.5	301.1
ARPC2	"Actin related protein 2/3 complex subunit 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 1695.2"	"Low region specificity"	"Detected in all"			0.07	20.1	644.0	46.9	31.7	51.0	28.8	31.4	494.9
ARPC3	"Actin related protein 2/3 complex subunit 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Hofbauer cells: 1613.0;monocytes: 1625.7"	"Low region specificity"	"Detected in all"			0.06	15.8	620.5	31.4	24.1	43.8	22.2	38.8	458.4
ARPC5	"Actin related protein 2/3 complex subunit 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 812.2;Langerhans cells: 822.2"	"Low region specificity"	"Detected in all"			0.11	7.7	204.8	20.8	13.2	19.7	7.1	48.0	170.3
ARPIN-AP3S2	"ARPIN-AP3S2 readthrough"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			0.04	0.0	0.0	0.4	0.6	0.9	0.5	0.5	0.0
ARPP21	"CAMP regulated phosphoprotein 21"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"brain: 734.8"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 832.3;Oligodendrocyte precursor cells: 586.3;Skeletal myocytes: 256.6"	"Region enhanced"	"Detected in all"		"basal ganglia: 619.4"	0.31	23.5	15.3	832.3	103.0	20.6	586.3	79.7	0.0
ARR3	"Arrestin 3"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	183	"retina: 373.6"	"Cell type enriched"	"Detected in some"	28	"Cone photoreceptor cells: 4930.9"	"Low region specificity"	"Detected in all"			0.20	0.3	0.0	0.1	0.1	0.0	0.0	0.5	0.0
ARRB1	"Arrestin beta 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.08	49.5	3.0	34.4	46.9	52.8	7.5	22.2	2.3
ARRB2	"Arrestin beta 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 260.6;lymphoid tissue: 164.3"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 310.0;Kupffer cells: 221.1;Langerhans cells: 203.4;Macrophages: 221.1;monocytes: 389.0"	"Low region specificity"	"Detected in all"			0.06	5.3	43.1	19.7	17.4	40.3	6.6	7.8	40.2
ARRDC2	"Arrestin domain containing 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 197.6"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 113.9;B-cells: 68.5;Langerhans cells: 72.1;monocytes: 95.8"	"Low region specificity"	"Detected in all"			0.16	1.5	11.3	3.7	0.5	8.9	0.5	18.7	16.6
ARRDC4	"Arrestin domain containing 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 74.4"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 56.7"	"Low region specificity"	"Detected in all"			0.24	18.9	0.4	7.8	5.7	3.6	36.3	3.2	15.8
ARSA	"Arylsulfatase A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Late spermatids: 125.6;Plasma cells: 119.7;Proximal enterocytes: 95.5"	"Low region specificity"	"Detected in all"			0.14	23.2	18.1	9.1	8.3	9.8	7.5	11.1	20.2
ARSB	"Arylsulfatase B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 38.7;Excitatory neurons: 36.1;Inhibitory neurons: 40.7;Microglial cells: 38.5;Oligodendrocyte precursor cells: 67.0;Oligodendrocytes: 52.3"	"Low region specificity"	"Detected in all"			0.04	38.7	13.7	36.1	40.7	38.5	67.0	52.3	6.6
ARSD	"Arylsulfatase D"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Hepatocytes: 94.5"	"Low region specificity"	"Detected in all"			0.29	9.3	9.5	0.8	1.6	6.3	3.3	1.4	16.5
ARSF	"Arylsulfatase F"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 4.7;kidney: 7.3;skin 1: 5.5"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 9.0;Inhibitory neurons: 4.4;Oligodendrocyte precursor cells: 2.4;Proximal tubular cells: 7.1;Serous glandular cells: 4.4"	"Low region specificity"	"Detected in all"			0.32	9.0	0.0	0.7	4.4	0.0	2.4	0.5	0.0
ARSI	"Arylsulfatase family member I"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 15.4;Fibroblasts: 10.4;granulocytes: 11.5;Melanocytes: 24.0;Mesothelial cells: 7.3;Pancreatic endocrine cells: 17.0;Suprabasal keratinocytes: 14.8"	"Low region specificity"	"Detected in many"			0.36	0.3	0.0	0.1	0.0	0.0	0.0	2.3	3.7
ARSJ	"Arylsulfatase family member J"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 49.7;Astrocytes: 41.8;Collecting duct cells: 23.3;Excitatory neurons: 26.2"	"Low region specificity"	"Detected in many"			0.54	41.8	0.0	26.2	1.5	7.2	2.8	0.4	0.3
ARSK	"Arylsulfatase family member K"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 18.5"	"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 54.5"	"Low region specificity"	"Detected in all"			0.09	8.7	6.1	10.7	9.3	7.2	6.6	9.3	16.2
ARSL	"Arylsulfatase L"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 35.3;liver: 88.3;pancreas: 101.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 29.6;Ductal cells: 29.7;Enteroendocrine cells: 41.0;Hepatocytes: 64.9;Paneth cells: 46.8;Proximal enterocytes: 47.7;Proximal tubular cells: 77.6;Undifferentiated cells: 56.9"	"Low region specificity"	"Detected in all"			0.28	3.1	0.0	1.4	1.3	0.9	1.9	0.1	21.5
ART4	"ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 51.6;lymphoid tissue: 18.5"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 11.4;Endothelial cells: 15.2;Erythroid cells: 36.2;Hepatocytes: 27.2;Lymphatic endothelial cells: 52.6;Rod photoreceptor cells: 12.6"	"Low region specificity"	"Detected in all"			0.27	0.6	0.0	0.2	0.2	0.0	0.0	0.3	0.5
ARV1	"ARV1 homolog, fatty acid homeostasis modulator"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Spermatocytes: 102.4"	"Low region specificity"	"Detected in all"			0.08	10.2	12.0	19.6	24.6	8.1	8.0	17.9	4.5
ARVCF	"ARVCF delta catenin family member"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 54.6"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 22.9"	"Low region specificity"	"Detected in all"			0.23	22.9	0.0	4.6	5.9	5.4	7.5	1.6	8.0
AS3MT	"Arsenite methyltransferase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 219.0"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 1.5;Proximal tubular cells: 1.6"	"Low region specificity"	"Detected in all"			0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASAH2	"N-acylsphingosine amidohydrolase 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	11	"intestine: 76.1"	"Group enriched"	"Detected in some"	4	"Early spermatids: 2.9;Late spermatids: 11.3;Muller glia cells: 6.4;Proximal enterocytes: 11.5"	"Region enhanced"	"Detected in many"		"cerebellum: 16.7"	0.56	0.6	0.8	1.0	1.4	0.0	0.0	0.2	0.0
ASAH2B	"N-acylsphingosine amidohydrolase 2B"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 14.3"	"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.05	0.9	2.2	6.2	6.1	2.7	6.6	0.5	0.2
ASAP1	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 334.1;Late spermatids: 474.7;Oligodendrocyte precursor cells: 583.9"	"Low region specificity"	"Detected in all"			0.11	196.0	10.5	334.1	216.8	173.6	583.9	228.9	117.3
ASAP2	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 45.4"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 133.8"	"Low region specificity"	"Detected in all"			0.08	133.8	18.4	73.6	44.6	37.6	45.3	51.2	61.6
ASAP3	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 34.1;Extravillous trophoblasts: 48.2"	"Low region specificity"	"Detected in all"			0.14	34.1	0.0	7.3	4.7	7.2	17.0	3.9	2.1
ASB1	"Ankyrin repeat and SOCS box containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Spermatocytes: 51.1"	"Low region specificity"	"Detected in all"			0.06	7.4	9.0	5.9	5.9	3.6	6.1	8.0	3.0
ASB13	"Ankyrin repeat and SOCS box containing 13"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Bipolar cells: 34.9;Cone photoreceptor cells: 54.4;Hepatocytes: 52.2;Proximal enterocytes: 38.9;Proximal tubular cells: 35.5"	"Low region specificity"	"Detected in all"			0.10	8.7	0.4	6.5	12.8	6.3	6.6	7.5	2.1
ASB16	"Ankyrin repeat and SOCS box containing 16"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"skeletal muscle: 65.3"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 1.3;Horizontal cells: 1.9;Inhibitory neurons: 1.5;Oligodendrocyte precursor cells: 1.4;Oligodendrocytes: 1.0;Rod photoreceptor cells: 2.0;Skeletal myocytes: 2.9"	"Low region specificity"	"Detected in all"			0.28	0.3	0.0	1.3	1.5	0.9	1.4	1.0	0.0
ASB18	"Ankyrin repeat and SOCS box containing 18"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	6	"heart muscle: 6.8;skeletal muscle: 11.4"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 3.6;Excitatory neurons: 2.8;Oocytes: 2.2;Skeletal myocytes: 2.9"	"Low region specificity"	"Detected in all"			0.36	0.3	0.0	2.8	0.3	0.0	0.9	0.4	0.0
ASB2	"Ankyrin repeat and SOCS box containing 2"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"skeletal muscle: 503.8;tongue: 151.6"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 28.9;Late spermatids: 38.3;Skeletal myocytes: 79.0"	"Low region specificity"	"Detected in many"			0.59	0.3	0.0	4.6	1.8	1.8	0.0	0.6	13.0
ASB5	"Ankyrin repeat and SOCS box containing 5"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"skeletal muscle: 209.4;tongue: 64.5"	"Group enriched"	"Detected in some"	8	"Late spermatids: 302.0;Skeletal myocytes: 228.3"	"Low region specificity"	"Detected in many"			0.48	0.6	0.0	0.6	1.5	0.0	10.8	0.8	0.0
ASB7	"Ankyrin repeat and SOCS box containing 7"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.08	13.9	7.7	19.9	14.4	19.7	15.6	16.2	4.0
ASCC1	"Activating signal cointegrator 1 complex subunit 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	24.2	23.4	32.0	41.1	25.9	33.5	49.1	20.4
ASCC2	"Activating signal cointegrator 1 complex subunit 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 165.5"	"Low region specificity"	"Detected in all"			0.14	17.6	36.9	13.0	13.2	10.7	14.6	15.2	18.4
ASCC3	"Activating signal cointegrator 1 complex subunit 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 160.5;Inhibitory neurons: 159.4"	"Low region specificity"	"Detected in all"			0.09	55.1	35.0	160.5	159.4	98.4	141.5	123.1	25.7
ASCL1	"Achaete-scute family bHLH transcription factor 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 15.5;liver: 10.7;pituitary gland: 29.3"	"Group enriched"	"Detected in some"	4	"Astrocytes: 16.1;Enteroendocrine cells: 10.7;Oligodendrocyte precursor cells: 40.1;Pancreatic endocrine cells: 11.9"	"Low region specificity"	"Detected in all"			0.14	16.1	0.0	1.7	3.9	0.9	40.1	0.3	0.0
ASF1A	"Anti-silencing function 1A histone chaperone"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oocytes: 280.1"	"Low region specificity"	"Detected in all"			0.08	10.5	17.4	5.6	6.0	8.9	8.5	9.3	29.2
ASF1B	"Anti-silencing function 1B histone chaperone"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 22.6;testis: 31.1"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 37.6;Early spermatids: 30.6;Erythroid cells: 35.2;Extravillous trophoblasts: 35.5;Late spermatids: 34.9;Spermatocytes: 88.9;Spermatogonia: 68.5;Undifferentiated cells: 44.6"	"Low region specificity"	"Detected in some"			0.16	0.3	0.4	0.4	0.4	0.9	0.0	0.5	1.4
ASGR1	"Asialoglycoprotein receptor 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	41	"liver: 1065.6"	"Cell type enriched"	"Detected in many"	4	"Hepatocytes: 976.9"	"Low region specificity"	"Detected in all"			0.23	2.8	2.2	4.5	4.6	1.8	1.9	0.6	0.8
ASGR2	"Asialoglycoprotein receptor 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	49	"liver: 819.9"	"Cell type enriched"	"Detected in some"	5	"Hepatocytes: 764.0"	"Low region specificity"	"Detected in many"			0.32	0.3	0.8	1.9	0.1	0.0	0.0	0.1	1.0
ASH1L	"ASH1 like histone lysine methyltransferase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	162.9	96.1	213.2	202.8	194.1	178.8	246.7	106.7
ASH2L	"ASH2 like, histone lysine methyltransferase complex subunit"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	17.3	14.8	19.0	20.5	15.2	16.5	15.4	13.3
ASIC1	"Acid sensing ion channel subunit 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"brain: 35.1"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 29.7;Inhibitory neurons: 15.6;Oligodendrocyte precursor cells: 60.8;Oligodendrocytes: 10.4"	"Low region specificity"	"Detected in all"			0.10	29.7	0.0	6.7	15.6	1.8	60.8	10.4	0.5
ASIC3	"Acid sensing ion channel subunit 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 45.9"	"Cell type enriched"	"Detected in some"	4	"Late spermatids: 61.1"	"Low region specificity"	"Detected in all"			0.14	2.8	0.0	3.3	4.0	0.0	1.4	4.8	0.2
ASIC4	"Acid sensing ion channel subunit family member 4"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"brain: 7.0;pituitary gland: 21.5;retina: 6.2"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 208.1;Cone photoreceptor cells: 66.3;Horizontal cells: 34.6;Oligodendrocyte precursor cells: 36.8"	"Low region specificity"	"Detected in many"			0.35	0.3	0.0	0.3	11.0	0.0	36.8	0.4	0.0
ASIP	"Agouti signaling protein"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"epididymis: 11.9;heart muscle: 27.1;ovary: 40.4"	"Group enriched"	"Detected in many"	5	"Cardiomyocytes: 26.2;dendritic cells: 81.0;Ovarian stromal cells: 103.4"	"Low region specificity"	"Detected in all"			0.14	1.2	81.0	2.1	1.7	0.9	2.4	2.3	0.0
ASL	"Argininosuccinate lyase"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	6	"liver: 386.7"	"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 335.9;Hepatocytes: 508.0;Proximal enterocytes: 267.7;Proximal tubular cells: 221.3"	"Low region specificity"	"Detected in all"			0.22	5.0	3.4	9.1	9.2	1.8	2.4	4.5	33.5
ASMTL	"Acetylserotonin O-methyltransferase like"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.08	5.0	28.8	8.0	6.4	8.9	4.7	6.6	16.5
ASNS	"Asparagine synthetase (glutamine-hydrolyzing)"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"pancreas: 117.5"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 45.5;Excitatory neurons: 50.1;Inhibitory neurons: 46.7;Late spermatids: 47.8"	"Low region specificity"	"Detected in all"			0.09	10.5	0.0	50.1	46.7	5.4	15.1	15.8	1.8
ASNSD1	"Asparagine synthetase domain containing 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 93.8"	"Low region specificity"	"Detected in all"			0.11	9.6	19.9	16.6	18.1	7.2	13.7	16.4	23.0
ASPA	Aspartoacylase	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 30.9;kidney: 36.8"	"Cell type enhanced"	"Detected in many"		"Leydig cells: 48.3;Melanocytes: 77.3;Oligodendrocytes: 201.9;Peritubular cells: 47.4;Proximal enterocytes: 35.0;Proximal tubular cells: 60.7;Schwann cells: 52.0"	"Low region specificity"	"Detected in all"			0.20	11.5	0.0	0.6	0.4	3.6	1.4	201.9	52.0
ASPDH	"Aspartate dehydrogenase domain containing"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 40.4;kidney: 38.0;liver: 129.3"	"Group enriched"	"Detected in some"	11	"Hepatocytes: 141.2;Proximal tubular cells: 417.8"	"Low region specificity"	"Detected in all"			0.17	3.1	0.0	4.5	4.2	2.7	0.0	3.1	0.0
ASPH	"Aspartate beta-hydroxylase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 372.0"	"Cell type enhanced"	"Detected in all"		"Astrocytes: 347.7;Muller glia cells: 388.7"	"Low region specificity"	"Detected in all"			0.08	347.7	92.0	90.0	94.7	59.0	145.3	49.8	116.0
ASPM	"Assembly factor for spindle microtubules"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"bone marrow: 10.0;lymphoid tissue: 16.5"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 81.6;Oocytes: 67.6;Plasma cells: 47.9;Spermatocytes: 47.2;Spermatogonia: 46.9"	"Not detected"	"Not detected"			"Not detected"	1.2	9.1	1.9	4.6	0.0	0.0	0.9	4.1
ASPN	Asporin	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 92.0;smooth muscle: 106.5"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 40.4;Fibroblasts: 71.3;Microglial cells: 23.3;Ovarian stromal cells: 17.3;Sertoli cells: 21.8;Smooth muscle cells: 62.8"	"Low region specificity"	"Detected in all"			0.21	0.3	0.0	2.0	1.6	23.3	1.4	1.0	1.3
ASPRV1	"Aspartic peptidase retroviral like 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	17	"skin 1: 410.4"	"Cell type enhanced"	"Detected in some"		"Oligodendrocytes: 3.8;Spermatogonia: 3.3;Suprabasal keratinocytes: 7.4"	"Low region specificity"	"Detected in all"			0.22	1.2	0.0	1.0	1.4	0.9	1.4	3.8	0.2
ASPSCR1	"ASPSCR1 tether for SLC2A4, UBX domain containing"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 271.8"	"Low region specificity"	"Detected in all"			0.06	18.9	22.7	12.0	11.7	1.8	9.9	13.2	14.4
ASRGL1	"Asparaginase and isoaspartyl peptidase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 124.6;cervix: 117.3;testis: 97.7"	"Group enriched"	"Detected in many"	4	"Ciliated cells: 163.3;Early spermatids: 395.5;Glandular and luminal cells: 460.6;Late spermatids: 588.5;Proximal tubular cells: 209.9;Secretory cells: 218.5;Spermatocytes: 458.3"	"Low region specificity"	"Detected in all"			0.13	53.9	6.0	13.4	17.8	8.9	14.1	20.5	6.8
ASS1	"Argininosuccinate synthase 1"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"kidney: 1238.9;liver: 1978.3"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 1030.8;Proximal enterocytes: 610.9;Proximal tubular cells: 1113.7"	"Low region specificity"	"Detected in all"			0.19	2.5	0.0	2.1	7.7	7.2	0.0	0.2	0.3
ASTE1	"Asteroid homolog 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 55.7"	"Low region specificity"	"Detected in all"			0.18	7.1	12.5	8.0	6.0	5.4	7.1	9.8	9.9
